timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll
2.38E+12,0.915079,1.188118517,-9.266451968,-0.815701842,-0.410196,0.15057829,0.12858713,94.10382,113.57695,16.679712
2.38E+12,0.919933,1.186721051,-9.264355749,-0.841787899,-0.40958515,0.1563815,0.12950343,94.2406,113.336655,16.541885
2.38E+12,0.925007,1.185260247,-9.262164522,-0.869056266,-0.408058,0.17440203,0.14019357,94.38371,113.09575,16.404991
2.38E+12,0.930007,1.183820747,-9.260005252,-0.895926947,-0.41141775,0.17684549,0.15393804,94.520096,112.858795,16.26754
2.38E+12,0.934965,1.182393339,-9.25786412,-0.922571914,-0.4251622,0.20189096,0.16249016,94.66435,112.62636,16.133186
2.38E+12,0.939961,1.180954991,-9.255706578,-0.949421099,-0.43310347,0.23426682,0.16798794,94.80819,112.3951,15.998061
2.38E+12,0.944994,1.17950599,-9.253533057,-0.976469127,-0.45173484,0.25717425,0.17592919,94.95333,112.170204,15.862555
2.38E+12,0.94998,1.178070521,-9.251379833,-1.00326457,-0.4578435,0.30543262,0.18661933,95.11167,111.946396,15.730589
2.38E+12,0.955565,0.69929698,-9.137230726,-1.083060501,-0.4868596,0.3585779,0.18020524,95.273384,111.73633,15.604641
2.38E+12,0.959967,0.290722477,-9.039951158,-1.149210689,-0.5128214,0.40103304,0.16920967,95.44248,111.52917,15.481157
2.38E+12,0.965103,-0.049434176,-8.976125996,-1.188175548,-0.5345071,0.41386122,0.14630222,95.3696,111.392586,15.290138
2.38E+12,0.969912,-0.325714023,-8.931724012,-1.212843374,-0.5439755,0.41874814,0.109650314,95.305885,111.26726,15.112808
2.38E+12,0.974907,-0.647543172,-8.867190845,-1.278818732,-0.56046885,0.3885103,0.07513642,94.83192,111.06384,14.698596
2.38E+12,0.979988,-0.980359834,-8.798669916,-1.352234173,-0.58551437,0.3191771,0.0290161,94.35681,110.8825,14.305355
2.38E+12,0.984914,-1.357096922,-8.804173829,-1.541438438,-0.634689,0.19883664,-0.020158553,93.736465,110.66018,13.789758
2.38E+12,0.989908,-1.745657872,-8.818564764,-1.747711476,-0.6930266,0.08399397,-0.071776666,93.109856,110.4665,13.294707
2.38E+12,0.994976,-2.054464237,-8.894376643,-1.998241543,-0.74464476,-0.04153884,-0.13469578,92.232735,110.23859,12.636302
2.38E+12,0.999963,-2.347439469,-8.976775669,-2.250017071,-0.79137594,-0.1459968,-0.18295415,91.351524,110.047035,11.996379
2.38E+12,1.004911,-2.483874383,-9.015505578,-2.603560338,-0.82741696,-0.22876903,-0.23671028,90.098526,109.826035,11.1157875
2.38E+12,1.009932,-2.584691862,-9.044310658,-2.987626985,-0.8738427,-0.2761111,-0.28038713,88.8728,109.65499,10.265982
2.38E+12,1.014987,-2.363729624,-9.131765874,-3.290181099,-0.90469146,-0.2761111,-0.2968805,87.194855,109.46039,9.109352
2.38E+12,1.019869,-2.072953561,-9.230254555,-3.562197481,-0.9306532,-0.22693644,-0.29229903,85.60922,109.327644,8.006792
2.38E+12,1.025193,-1.675116596,-9.307872161,-3.494534236,-0.93828905,-0.12522738,-0.23579398,83.98906,109.272354,6.8304167
2.38E+12,1.029963,-1.301159275,-9.370949636,-3.354863424,-0.9831876,-0.040317107,-0.21868975,82.47913,109.285866,5.7237706
2.38E+12,1.034912,-0.912263027,-9.344491223,-3.141498581,-1.0097603,-0.009773844,-0.18875736,81.48019,109.42551,4.9372487
2.38E+12,1.039919,-0.518552394,-9.29167582,-2.906232501,-1.0534371,0.006719518,-0.15974127,80.55329,109.60212,4.185421
2.38E+12,1.044922,-0.143612315,-9.272557441,-2.643906273,-1.0705414,-0.003665192,-0.12003502,79.86343,109.788506,3.6265385
2.38E+12,1.04993,0.226410487,-9.263069981,-2.373504885,-1.0729848,-0.039095376,-0.08246681,79.20006,109.98937,3.079495
2.38E+12,1.054903,0.575448601,-9.367380783,-2.297349496,-1.054048,-0.112399206,-0.030543262,78.66913,110.170456,2.6664248
2.38E+12,1.059903,0.920414001,-9.509147782,-2.283172895,-1.0311406,-0.1414153,0.029626964,78.15882,110.35117,2.2542384
2.38E+12,1.065041,1.333385165,-9.656345245,-2.318650389,-0.98471475,-0.09468412,0.06291912,77.684105,110.47861,1.9210105
2.38E+12,1.069962,1.749341892,-9.79785601,-2.370109004,-0.93279123,0.05009095,0.048563786,77.23757,110.59706,1.6012456
2.38E+12,1.075038,2.198180952,-9.94520322,-2.283375654,-0.816116,0.1908954,0.014660766,76.8293,110.67656,1.3614054
2.38E+12,1.080072,2.659611252,-10.09246809,-2.082113453,-0.68600166,0.3051272,-0.000305433,76.45857,110.73537,1.1398118
2.38E+12,1.085045,3.015224923,-10.25450563,-1.855055511,-0.5696318,0.35705075,0.006414085,76.1422,110.769226,1.0290112
2.38E+12,1.090012,3.302218154,-10.42761286,-1.609061245,-0.47647488,0.3894266,0.016493361,75.85199,110.77069,0.93507904
2.38E+12,1.095089,3.466123625,-10.60506104,-1.407873042,-0.40530908,0.47067168,0.036651913,75.58638,110.70254,0.92206407
2.38E+12,1.099991,3.501496963,-10.77687429,-1.261326301,-0.3436117,0.627664,0.03940081,75.34746,110.61011,0.92363
2.38E+12,1.104963,3.377242753,-10.88576408,-1.111063584,-0.26450464,0.818254,0.038789943,75.1114,110.43554,0.9685192
2.38E+12,1.109974,3.158178462,-10.95719806,-0.958670983,-0.15607607,1.0164797,0.027794369,74.91479,110.236786,1.0316687
2.38E+12,1.115045,2.823212654,-10.94917006,-0.711275032,-0.058337633,1.1081096,0.04642576,74.72047,109.984535,1.0895302
2.38E+12,1.120001,2.428271319,-10.89341396,-0.413907435,0.0290161,1.2241739,0.059864793,74.57928,109.708694,1.1723199
2.38E+12,1.125073,1.938814321,-10.78399273,-0.190910576,0.06169739,1.2544118,0.093462385,74.37657,109.38794,1.1839746
2.38E+12,1.130046,1.39935282,-10.64013624,-0.029072126,0.08460484,1.2455542,0.13591751,74.19233,109.05044,1.1977711
2.38E+12,1.135005,0.801114483,-10.46961082,0.008428519,0.07880162,1.1972959,0.1826487,73.939354,108.65665,1.1055006
2.38E+12,1.140012,0.126703981,-10.26583205,-0.098312711,0.025350908,1.1383474,0.22235495,73.68166,108.27688,1.0061847
2.38E+12,1.144982,-0.52441477,-10.04523412,-0.307572787,-0.02565634,1.097114,0.26328292,73.33983,107.87192,0.7701987
2.38E+12,1.150001,-1.162058844,-9.802548755,-0.631153372,-0.079107046,1.071763,0.30909783,72.991516,107.49229,0.5269446
2.38E+12,1.155001,-1.773360315,-9.567775975,-0.944927003,-0.13408493,1.0797043,0.35888332,72.61839,107.161644,0.15929215
2.38E+12,1.160005,-2.357308319,-9.340953171,-1.248965982,-0.17898351,1.1133019,0.39675698,72.2546,106.856926,-0.20602457
2.38E+12,1.165378,-2.850729703,-9.170413333,-1.472235434,-0.21380283,1.1600331,0.42577308,71.931435,106.6513,-0.67043936
2.38E+12,1.170003,-3.166512771,-9.083157459,-1.58026654,-0.21685717,1.1844677,0.4251622,71.62305,106.46692,-1.1234621
2.38E+12,1.174946,-3.402735396,-9.018215485,-1.636400649,-0.2180789,1.1927143,0.40958515,71.3315,106.38028,-1.6710496
2.38E+12,1.180037,-3.441050122,-9.008636604,-1.574139119,-0.22235495,1.185384,0.37751472,71.05748,106.316284,-2.1990802
2.38E+12,1.184973,-3.355090688,-8.991164651,-1.521255594,-0.22999077,1.1826351,0.37140608,70.79188,106.309586,-2.7880447
2.38E+12,1.190054,-2.980179633,-8.954136616,-1.484227365,-0.2519819,1.2070698,0.39370266,70.55062,106.33147,-3.3596082
2.38E+12,1.194979,-2.593827308,-8.929474193,-1.444976515,-0.2751948,1.2534955,0.4166101,70.292534,106.36923,-3.9329257
2.38E+12,1.200001,-2.108805881,-8.948874934,-1.391624197,-0.29229903,1.2971723,0.43585235,70.06034,106.43408,-4.495107
2.38E+12,1.204995,-1.632576604,-8.972381509,-1.330164724,-0.33292156,1.320996,0.44532076,69.86738,106.50791,-4.9672594
2.38E+12,1.209987,-1.177905984,-9.010669335,-1.239230614,-0.36377025,1.35551,0.44806966,69.702324,106.598206,-5.4277787
2.38E+12,1.215047,-0.724347458,-9.041632953,-1.150323597,-0.38912117,1.3634512,0.4361578,69.57116,106.669754,-5.7779946
2.38E+12,1.219997,-0.30441018,-9.046405064,-1.073971317,-0.40653083,1.3961325,0.4334089,69.46368,106.75527,-6.119418
2.38E+12,1.225106,0.08777939,-9.03828693,-1.014069223,-0.41233405,1.4395039,0.44348818,69.37056,106.80272,-6.3660936
2.38E+12,1.230078,0.351259974,-8.99300115,-1.009952342,-0.45356745,1.5222762,0.44348818,69.29963,106.86555,-6.598562
2.38E+12,1.234991,0.611613979,-8.94825275,-1.005884313,-0.48930305,1.632232,0.4266894,69.25309,106.88692,-6.739496
2.38E+12,1.240006,0.790872907,-8.805784089,-0.965863783,-0.5186246,1.7434094,0.40225476,69.23059,106.916985,-6.868753
2.38E+12,1.244972,0.942450598,-8.666023615,-0.927441193,-0.54733527,1.8591684,0.38026363,69.239975,106.954765,-6.982513
2.38E+12,1.250002,0.972262447,-8.585761041,-0.915975099,-0.6059783,1.9911152,0.3381139,69.28601,106.98133,-7.01377
2.38E+12,1.255261,1.003431535,-8.501844365,-0.90398699,-0.6404922,2.1233675,0.3100141,69.36579,106.99674,-7.007403
2.38E+12,1.259991,1.031465342,-8.426368823,-0.893204759,-0.68508536,2.237294,0.27672195,69.47351,107.02331,-6.979082
2.38E+12,1.265157,1.062083237,-8.343936127,-0.881428647,-0.72143185,2.323426,0.25289822,69.60869,107.05363,-6.9378104
2.38E+12,1.269997,0.957534215,-8.432505009,-0.871476083,-0.73731434,2.3875668,0.22204952,69.76607,107.08464,-6.878886
